,titles,comment_count,episode_numbers
0,Snacks,13,1
1,Bei dem Zweiten hört man besser,7,2
2,Der große Diktator,10,3
3,Das Rosetten-Problem,6,4
4,Nackt in der Sauna,4,5
5,Erdogans Freistoßschützen,1,7
6,Die Segway-Gang,1,8
7,Trump vs. Alexa vs. Kinderwägen,15,9
8,Der Party-Podcast,11,10
9,Das Festival der guten Laune,9,11
10,Willkommen im Altersheim!,8,12
11,Die Hape-Kerkeling-Verschwörung,10,13
12,Das Jochen-Schweizer-G20-Erlebnispaket,5,14
13,Namenstag,14,15
14,Ist dieser Podcast Kunst?,15,16
15,Gigantische Schamlippen,22,17
16,Frohe Weihnachten!,26,38
17,Erotischer Stirntanz,44,19
18,Blinkeschuhe24.de,70,20
19,After-gamescom-Blues,40,21
20,Ballbehinderung,38,22
21,Die Ex von Till Lindemann,27,23
22,Date-Fails,25,24
23,Wir machen Politik,23,25
24,Einer von uns drei hat Krebs,29,26
25,Das Diktatoren Duett,24,27
26,Persönliche Differenzen,48,28
27,Museum für YouTube-Kunst und Geschichte,31,29
28,#JeSuisEngelmann,29,30
29,Der PietCast wird gerettet!,44,31
30,Bundeswehrbarden,25,32
31,Zuhörerschaft,37,33
32,"Wetten, dass…",13,34
33,Masturbation,24,35
34,Feuermelder-Sex,12,36
35,"Goodbye, Beate Uhse",13,37
36,Von Fanfictions und Erotikgeschichten,6,18
37,Das PietCast-Flüchtlingscamp,18,39
38,Das Mahagoni-Tier,23,40
39,Der dilettantische Dreier,21,41
40,Pavianhoden vernaschen,14,42
41,Steuererklärung,20,43
42,Die Martin-Schulz-KI,12,44
43,Lasst uns ein Spiel spielen,8,45
44,ESC-Vorentscheid,7,46
45,Fisting-Handschuhe,15,47
46,Der perverse Test,10,48
47,Andis neues Hobby,15,49
48,Bundesverband der Sitzplatzkarteninhaber,14,50
49,Völkermörder-Quartett,7,51
50,Causa Elton,11,52
51,Toiletten-Sex,18,53
52,Tour-Special,15,54
53,Mehr Nacktheit!,6,55
54,Kampf dem Tumor!,5,56
55,ESC 2018,6,57
56,Die Geschichte vom Fleischer,3,58
57,Tiefsinnige Gespräche,15,59
58,Kriegselefanten,8,60
59,Befreit die Brüste!,21,61
60,Das E3-PietStream-Desaster,10,62
61,Bobbele,11,63
62,Kalender-Shooting,9,64
63,Das Glööcksrad,5,65
64,Falafel-Fries,8,66
65,Alman-Fantasien,7,67
66,Die besten Rockerbanden,5,68
67,YouTuber-Archetyp,0,69
68,Jahrmarktgeschichten,19,70
69,Auferstanden aus Ruinen,12,71
70,Andi (24) hört diesen Podcast,8,72
71,Neues Deutschland,6,73
72,Dunkin,8,74
73,Erfurt,17,75
74,Das Laude-Treffen,9,76
75,Arschbraun,24,77
76,Der gläserne DDD-Hörer,10,78
77,Doggy,24,79
78,Das Höllenfeuer,16,80
79,Fetische & Wartezimmer,16,81
80,Animal-Bahn,22,82
81,Agent Null-Null-Ameise,16,83
82,Die Top 84 der DDD-Folgen,15,84
83,Friendly Feier 4,8,85
84,Lebkuchen und Knallfrösche,11,86
85,Dilettanten diskutieren Dokus,13,87
86,Hamberder,18,88
87,Stock-Ast-Baum-Theorie,19,89
88,ESC-Vorschau & Falafel-Erfahrungen,9,90
89,Unser perfekter Sexpodcast,16,91
90,Wasserwaage,15,92
91,Deutschland UG (haftungsbeschränkt) & Co. KG,12,93
92,Boarischa Sproch,19,94
93,Zum kostbaren Blut,9,95
94,Tyrannisches Trio,7,96
95,Der Doku Dodcast,26,97
96,Schwimmbadtrauma,10,98
97,Tschüss Zweistelligkeit!,13,99
98,Garten,15,100
99,Dalmatiner,11,101
100,?,13,102
101,Raclette vs. Nudelauflauf,21,103
102,S!sters was an inside job – ESC 2019,3,104
103,Dilettantische Politik,8,105
104,?,13,106
105,Pornokeller,15,107
106,Baumarkt,19,108
107,Wespenangriff,19,109
